patent_id,inventor_id
11396231,fl:ma_ln:kuhl-6
11494772,fl:mi_ln:james-22
8393645,fl:mi_ln:wiseman-3
11482662,fl:to_ln:nishihara-5
D617687,fl:da_ln:poirier-4
9158352,fl:ri_ln:crisp-2
6389197,fl:vl_ln:iltchenko-1
6150163,fl:ja_ln:hanlon-8
D254137,fl:th_ln:kimble-1
11039814,fl:ja_ln:bryzek-2
10108762,fl:cl_ln:feger-1
10959687,fl:er_ln:losty-1
5564548,fl:bo_ln:dobbins-1
5415005,fl:fr_ln:sterber-1
11818176,fl:si_ln:yang-79
10077187,fl:yi_ln:chang-98
8853623,fl:an_ln:verenchikov-1
12394954,fl:br_ln:fang-1
4484963,fl:st_ln:anctil-1
10700896,fl:ke_ln:song-5
10613228,fl:jo_ln:godbaz-1
9707561,fl:jo_ln:matear-1
6335031,fl:bo_ln:asmussen-1
D691513,fl:ni_ln:baurain-1
10122472,fl:br_ln:wall-6
4121073,fl:fe_ln:garcia-21
D1005753,fl:ji_ln:tong-21
D1016917,fl:ji_ln:zhu-407
11154229,fl:ra_ln:gavas-1
9758380,fl:ji_ln:park-337
9519860,fl:pa_ln:dlugosch-1
9238664,fl:ka_ln:tsuchida-22
5085035,fl:ed_ln:lomax-1
6954432,fl:de_ln:oxley-2
8301861,fl:ti_ln:swatosh-1
5089917,fl:ke_ln:kanota-1
7447452,fl:er_ln:hamby-1
7222671,fl:jo_ln:brown-72
10686852,fl:di_ln:gowda-1
4824933,fl:ed_ln:ostlinning-1
6578748,fl:ka_ln:aihara-11
10352732,fl:jo_ln:eckrich-2
6995213,fl:ma_ln:miller-129
12417557,fl:ta_ln:lee-57
6818760,fl:am_ln:springer-1
5754522,fl:sh_ln:uehara-13
5492776,fl:an_ln:hrycin-1
6279158,fl:je_ln:brede-1
11722367,fl:mo_ln:parthasarathy-1
9140276,fl:va_ln:griffiths-1
7566784,fl:zh_ln:cai-16
11021607,fl:ad_ln:zambova-1
10858005,fl:da_ln:wishin-1
10758118,fl:ho_ln:chen-36
D752965,fl:mi_ln:blaney-1
D763725,fl:mi_ln:silvanto-3
4990494,fl:an_ln:narula-1
11194578,fl:cl_ln:kucharski-1
D1067085,fl:ja_ln:gilley-1
9338200,fl:hy_ln:kang-159
12376372,fl:mi_ln:yeh-39
5883393,fl:fu_ln:tien-1
6192941,fl:pa_ln:estrier-1
8319982,fl:ke_ln:imai-15
H1264,fl:th_ln:paoli-2
8226184,fl:ki_ln:song-59
10658993,fl:ge_ln:paulik-1
8145564,fl:je_ln:dennes-1
10745920,fl:li_ln:lu-69
5234904,0019gsqdwzr3c68483mkfspl8
12312162,fl:st_ln:dunn-9
4295065,fl:ri_ln:vaccarella-1
6810083,fl:yi_ln:chen-398
12054908,fl:ry_ln:masuda-6
5495475,fl:pe_ln:franaszek-1
7906217,fl:ha_ln:inagaki-2
8285488,fl:ro_ln:hyde-1
6263276,fl:hi_ln:morita-22
4724241,fl:ro_ln:maerkl-1
6718730,fl:jo_ln:spagua-1
D638818,fl:ji_ln:yao-54
11270810,fl:no_ln:nogami-1
12045885,fl:ke_ln:sampson-3
7726459,fl:go_ln:alves-2
12368034,fl:hi_ln:gunji-2
6480921,fl:ba_ln:mansoorian-2
7587558,fl:ri_ln:jernigan-2
9448095,fl:mi_ln:maher-6
12479177,fl:fr_ln:rouyet-1
11437457,fl:yu_ln:wei-65
9131611,fl:ta_ln:sakai-44
12134428,fl:pr_ln:shankar-7
7897283,fl:hi_ln:matsumoto-39
5543214,fl:pi_ln:groshens-1
4595976,001b693sja7ypgwm2mc34xrtp
9983483,fl:fr_ln:schlesener-1
8420067,fl:sc_ln:henderson-1
7118449,fl:fr_ln:eisert-1
9043781,fl:le_ln:williamson-2
10194565,fl:hu_ln:zhao-18
6511141,fl:ko_ln:hasegawa-15
5778653,fl:fr_ln:stahlecker-1
7571070,fl:ge_ln:banke-1
11010143,fl:ra_ln:bakthavachalam-1
D682391,fl:ri_ln:zhang-8
D963654,fl:we_ln:yan-44
7706641,fl:da_ln:goertzen-2
10389777,fl:su_ln:jung-52
9063041,fl:pa_ln:spooner-1
6062218,fl:ja_ln:bolmgren-1
6713308,fl:fr_ln:lu-10
12509266,fl:ka_ln:missoum-1
6755029,fl:ma_ln:bertrand-5
D938849,fl:mo_ln:anderson-3
D838383,fl:yu_ln:koiso-1
9048942,fl:jo_ln:hershey-2
9972802,fl:hi_ln:taka-3
8598025,fl:lo_ln:steen-1
12099447,fl:ro_ln:gattuso-1
11148857,fl:xi_ln:liu-420
10110536,fl:jo_ln:vincent-30
10846014,fl:ka_ln:kumar-33
7278699,fl:je_ln:folkins-2
11549407,fl:hi_ln:takahashi-78
5298859,fl:al_ln:mceachern-2
12250800,fl:mi_ln:lim-11
D553191,fl:zh_ln:qiu-62
5878501,fl:ro_ln:owens-17
PP14924,fl:an_ln:houbraken-2
7899129,fl:ro_ln:maslennikov-1
9739754,fl:an_ln:banks-1
11223211,fl:be_ln:dittmer-1
9061825,fl:al_ln:ring-1
5084112,fl:ic_ln:tachino-1
11661402,fl:ro_ln:mease-2
5320706,fl:ro_ln:blackwell-3
11881403,fl:ay_ln:higuchi-2
11081718,fl:br_ln:valdes-1
7330645,fl:su_ln:kwon-52
11914480,fl:ch_ln:manjunath-3
7703266,fl:ro_ln:fackler-1
10703640,fl:nu_ln:martingarcia-1
6371017,fl:os_ln:yamazaki-1
9472240,fl:bo_ln:chen-46
5849227,fl:ya_ln:sato-11
9486953,fl:ch_ln:nishio-3
6136643,fl:ja_ln:sung-30
10212203,fl:an_ln:champagne-4
12159066,fl:ha_ln:azechi-1
7797813,fl:yo_ln:ito-14
4356097,fl:an_ln:papay-1
6777361,fl:vo_ln:knoblauch-1
D671675,fl:an_ln:putaggio-1
D303485,fl:je_ln:windom-1
6700446,fl:li_ln:ke-3
D958532,fl:kj_ln:ekman-2
PP16437,fl:go_ln:bartels-2
6767641,fl:yu_ln:tashiro-2
4563441,fl:el_ln:hertzenberg-1
10530030,fl:ch_ln:jou-2
12288558,fl:lu_ln:vegazayas-1
